============================== SRIM-2013.00 ==============================
==============================================================================
===== TRIMOUT.txt: File of Transmitted / Backscattered / Sputtered Atoms =====
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.= Ne(100 MeV) ==> Carbon Tetrafluoride (IC(  400 mm) ========
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T  114 10 .3052357E+08   4000000E+03  .1756E+08  .8676E+07   .9997460  .0085274  .0208619
T  115 10 .3014822E+08   4000000E+03 -.2739E+08 -.5507E+07   .9999332 -.0071560 -.0090719
T  116 10 .3045743E+08   4000000E+03  .1574E+08  .1364E+08   .9997082  .0207578  .0123564
T  117 10 .3049682E+08   4000000E+03  .1245E+08  .2558E+08   .9995981  .0064755  .0275997
T  118 10 .3072465E+08   4000000E+03 -.7500E+07 -.9883E+07   .9999831  .0007404 -.0057711
T  119 10 .3007972E+08   4000000E+03  .1147E+08  .2746E+07   .9999543  .0073722 -.0060866
T  120 10 .3098068E+08   4000000E+03 -.4398E+08 -.3435E+07   .9997457 -.0189559 -.0122151
T  121 10 .3046247E+08   4000000E+03 -.7603E+06 -.3258E+06   .9999357  .0063777 -.0093818
T  122 10 .3015044E+08   4000000E+03 -.4416E+07  .1047E+08   .9999811  .0005476  .0061274
T  123 10 .3125658E+08   4000000E+03  .5677E+08  .2238E+08   .9999297  .0110396  .0043225
T  124 10 .3067000E+08   4000000E+03  .4319E+08  .5896E+07   .9998079  .0182498 -.0071473
T  125 10 .3058893E+08   4000000E+03  .6268E+08  .4013E+08   .9986439  .0403906  .0328469
T  126 10 .3078521E+08   4000000E+03  .1471E+08 -.1580E+08   .9998740  .0091563  .0129675
T  127 10 .3100856E+08   4000000E+03  .4012E+08  .2635E+08   .9992923  .0329156  .0182082
T  128 10 .3084538E+08   4000000E+03  .8075E+07  .1272E+08   .9999250  .0094929  .0077392
T  129 10 .3077678E+08   4000000E+03  .4205E+07 -.1130E+08   .9999280 -.0025213 -.0117355
T  130 10 .3088997E+08   4000000E+03 -.1304E+08 -.3171E+08   .9999198 -.0122867  .0030811
T  131 10 .3092194E+08   4000000E+03  .2841E+08  .3575E+08   .9998336  .0056722  .0173355
T  132 10 .3068873E+08   4000000E+03 -.5109E+07  .1449E+08   .9999658  .0003748  .0082649
T  133 10 .3060774E+08   4000000E+03 -.1815E+08 -.1261E+08   .9996866 -.0129295 -.0214349
T  134 10 .3044665E+08   4000000E+03 -.5766E+08  .4834E+07   .9997307 -.0216542  .0083393
T  135 10 .3119537E+08   4000000E+03  .7400E+07 -.1046E+08   .9999687  .0029189 -.0073532
T  136 10 .3105961E+08   4000000E+03 -.3036E+08 -.2749E+07   .9998996 -.0128180 -.0060382
T  137 10 .3032381E+08   4000000E+03 -.1145E+08  .1502E+08   .9999814 -.0059385  .0014234
T  138 10 .3059220E+08   4000000E+03 -.2105E+07 -.2382E+08   .9995388 -.0012117 -.0303430
T  139 10 .3094131E+08   4000000E+03 -.1461E+08 -.1592E+08   .9998898 -.0096612 -.0112699
T  140 10 .3141041E+08   4000000E+03  .5750E+06 -.8642E+07   .9997626  .0211146 -.0053817
T  141 10 .3054080E+08   4000000E+03  .8234E+07 -.1798E+07   .9999382 -.0022312 -.0108936
T  142 10 .3068547E+08   4000000E+03  .2231E+08  .3058E+08   .9999734  .0065169 -.0032785
T  143 10 .3008980E+08   4000000E+03 -.3427E+08 -.8622E+07   .9997798 -.0205418  .0042808
T  144 10 .3019258E+08   4000000E+03 -.4499E+07 -.5162E+08   .9993051  .0129773 -.0349419
T  145 10 .3062082E+08   4000000E+03 -.3282E+08  .1717E+08   .9988862 -.0301944  .0362594
T  146 10 .3065188E+08   4000000E+03 -.5192E+08 -.3010E+08   .9990955 -.0359068 -.0227779
T  147 10 .3113946E+08   4000000E+03 -.1789E+07 -.8530E+07   .9999975 -.0021964 -.0004371
T  148 10 .2995751E+08   4000000E+03  .6667E+07 -.1152E+08   .9999815  .0037702 -.0047772
T  149 10 .3107728E+08   4000000E+03 -.1951E+06 -.3170E+08   .9998616 -.0038575 -.0161837
T  150 10 .3104701E+08   4000000E+03 -.1474E+08 -.2905E+08   .9995921 -.0106757 -.0264885
T  151 10 .3059794E+08   4000000E+03 -.8560E+07 -.2567E+08   .9998462 -.0128146 -.0119698
T  152 10 .3094455E+08   4000000E+03 -.4010E+08  .9750E+07   .9995024 -.0306219  .0075609
T  153 10 .3088116E+08   4000000E+03  .7512E+06  .2911E+08   .9997046 -.0055522  .0236631
T  154 10 .3023006E+08   4000000E+03  .4484E+08 -.1883E+08   .9995590  .0296800  .0009032
T  155 10 .3088205E+08   4000000E+03 -.1579E+08 -.6798E+07   .9999015 -.0110085 -.0087103
T  156 10 .3030768E+08   4000000E+03  .5586E+07  .2779E+08   .9998037  .0025833  .0196455
T  157 10 .3011694E+08   4000000E+03 -.1365E+08  .1470E+08   .9999727  .0018827  .0071459
T  158 10 .3081806E+08   4000000E+03 -.3620E+08  .6623E+07   .9997404 -.0225907  .0029625
T  159 10 .3062838E+08   4000000E+03  .1011E+08  .3052E+07   .9999612  .0087821 -.0007192
T  160 10 .3023656E+08   4000000E+03  .2784E+08 -.1125E+07   .9997613  .0218088 -.0013121
T  161 10 .3070394E+08   4000000E+03 -.1879E+08  .1456E+08   .9997178 -.0108341  .0211407
T  162 10 .3096352E+08   4000000E+03  .3046E+07  .8950E+07   .9999638  .0031585  .0079044
T  163 10 .3037180E+08   4000000E+03 -.3021E+08  .3490E+08   .9997955 -.0042368  .0197718
T  164 10 .3042790E+08   4000000E+03  .6951E+07  .1828E+08   .9997583  .0005440  .0219791
T  165 10 .3073438E+08   4000000E+03  .2125E+08  .3529E+08   .9998368  .0070914  .0166162
T  166 10 .3063017E+08   4000000E+03 -.4393E+07  .4992E+07   .9993186 -.0290555  .0227641
T  167 10 .3032899E+08   4000000E+03 -.2789E+08 -.1068E+08   .9999636 -.0050699 -.0068599
T  168 10 .3086077E+08   4000000E+03 -.9955E+07 -.3407E+08   .9994841 -.0104388 -.0303746
T  169 10 .3095376E+08   4000000E+03  .4175E+07  .2526E+08   .9998171  .0057654  .0182369
T  170 10 .3038078E+08   4000000E+03 -.3723E+08  .1711E+07   .9994105 -.0343245  .0006838
T  171 10 .3035598E+08   4000000E+03 -.3174E+08  .3546E+07   .9998684 -.0144674  .0073466
T  172 10 .3111713E+08   4000000E+03 -.1163E+07  .2451E+08   .9999414 -.0034228  .0102676
T  173 10 .3046242E+08   4000000E+03  .1461E+07  .1863E+08   .9996104  .0029636  .0277539
T  174 10 .3038753E+08   4000000E+03 -.1580E+07 -.1755E+08   .9999256 -.0079573 -.0092482
